"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2836139979","","","Clio 5 société 1.5 dci 75","7 800 €","Pack Sérénité","2020165000 kmDieselManuelle","2020","165000 km","Diesel","Manuelle","Montbartier 82700"
"https://www.leboncoin.fr/ad/voitures/2743388396","","","Renault twingo 1.0 65 sce zen 2021","7 800 €","Pack Sérénité","202170676 kmEssenceManuelle","2021","70676 km","Essence","Manuelle","Paris 75013 13e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2833072189","","Déjà Vu","Citroën C3 C-Series 11000km car play","7 900 €","Pack Sérénité","202111000 kmEssenceManuelle","2021","11000 km","Essence","Manuelle","Vitry-sur-Seine 94400"
"https://www.leboncoin.fr/ad/voitures/2755532212","","","Twingo 3 sce 65 zen","7 900 €","Pack Sérénité","202053771 kmEssenceManuelle","2020","53771 km","Essence","Manuelle","Taverny 95150"
"https://www.leboncoin.fr/ad/voitures/2831210805","","","Fiat Panda","7 950 €","Pack Sérénité","202038400 kmEssenceManuelle","2020","38400 km","Essence","Manuelle","Châteauneuf-les-Martigues 13220"
"https://www.leboncoin.fr/ad/voitures/2790356561","","Pro","PEUGEOT 108 1.0i VTi 72 S&S STYLE","7 950 €","","202090888 kmEssenceManuelle","2020","90888 km","Essence","Manuelle","Petit-Mars 44390"
"https://www.leboncoin.fr/ad/voitures/2430861120","","Pro","Renault twingo zen sce 70 clim bluetooth tva","","","202048250 kmEssenceManuelle","2020","48250 km","Essence","Manuelle","Paris 75012 12e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2770121182","","Pro","RENAULT TWINGO 1.0i SCe 75CH","","","202066827 kmEssenceManuelle","2020","66827 km","Essence","Manuelle","Montpellier 34070 Prés d'Arènes"
"https://www.leboncoin.fr/ad/voitures/2794346603","","Pro","Renault twingo iii sce 75 finition zen","7 990 €","","202055280 kmEssenceManuelle","2020","55280 km","Essence","Manuelle","Neuvillette 80600"
"https://www.leboncoin.fr/ad/voitures/2777886276","","Pro","Renault twingo iii sce 65 life","7 990 €","","202061200 kmEssenceManuelle","2020","61200 km","Essence","Manuelle","Saint-Pierre-La-Noue 17700"
"https://www.leboncoin.fr/ad/voitures/2835554853","","","Citroën C3 phase 2 / 106000KM","7 999 €","Pack Sérénité","2020106000 kmEssenceManuelle","2020","106000 km","Essence","Manuelle","Montpellier 34070 Croix d'Argent"
"https://www.leboncoin.fr/ad/voitures/2836516011","","","Twingo 3 Phase 2 Zen SCE 75","8 000 €","Pack Sérénité","202064000 kmEssenceManuelle","2020","64000 km","Essence","Manuelle","Paris 75001 1er Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2836323496","","","C3 pure tech 82 cv essence (2 places mais 5 places possible facilement )","8 000 €","Pack Sérénité","202067000 kmEssenceManuelle","2020","67000 km","Essence","Manuelle","Châlons-en-Champagne 51000"
"https://www.leboncoin.fr/ad/voitures/2836138977","https://img.leboncoin.fr/api/v1/lbcpb1/images/83/94/8b/83948b46be5f5e075701697259ac1c1c4f70e292.jpg?rule=ad-image","","CITROEN C3 Puretech 110 cv Année 2020 Excellent état","8 000 €","Pack Sérénité","2020123000 kmEssenceManuelle","2020","123000 km","Essence","Manuelle","Grabels 34790"
"https://www.leboncoin.fr/ad/voitures/2821453503","https://img.leboncoin.fr/api/v1/lbcpb1/images/c6/f7/7f/c6f77f028c1b8c7ae3617d694ea71c2857bf3ad0.jpg?rule=ad-image","","Vente C1 Citroën","","Pack Sérénité","202054600 kmEssenceManuelle","2020","54600 km","Essence","Manuelle","Albi 81000"
