"flex href","fill-current","line-clamp-1","text-main-variant","text-on-surface","text-caption","line-clamp-2","flex","adcard_554c76b6d","box-border","box-border 2","text-caption 2","text-caption 3","h-[2 src"
"https://www.leboncoin.fr/ad/ordinateurs/2839631631","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 15"" 2021 - i7, 16Go, Radeon Pro - Comme neuf 🚀✨ Garantie incluse","1 499 €","Très bon état","Pro","Livraison possible","Les Sables-d'Olonne 85100","aujourd’hui à 18:20",""
"https://www.leboncoin.fr/ad/ordinateurs/2839625833","","ejoid","Star","5","(20)","MacBook Pro 16 M1 16go Ram 512go SSD","1 500 €","État neuf","","Livraison possible","Nevers 58000","aujourd’hui à 18:12","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/8d662558-29ba-5978-b0dc-0efac5762ce4?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839624287","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13'' RETINA - PUISSANT 💻 i7 - 16Go - 2To SSD - ÉTAT IMPECCABLE ✨ SOUS GARANTIE 🔒","1 299 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 18:10",""
"https://www.leboncoin.fr/ad/ordinateurs/2839595862","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13'' M1 3.2GHz - 8Go RAM - 256Go SSD - État Comme Neuf  🚀💻✨","1 299 €","Reconditionné","Pro","Livraison possible","Orléans 45000","aujourd’hui à 17:31",""
"https://www.leboncoin.fr/ad/ordinateurs/2839588057","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 15"" i7 3.5GHz - 16Go - Radeon Pro - État parfait  🌟💻","1 299 €","Très bon état","Pro","Livraison possible","Blois 41000","aujourd’hui à 17:20",""
"https://www.leboncoin.fr/ad/ordinateurs/2839560217","Vendeur pro","TechPower.fr","Star","5","(24)","Mac Pro 5.1 🚀 - Dual Xeon 3.46GHz, 24 cœurs, 128Go RAM, 4To SSD, RX580 8Go 🔥💻","1 299 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 16:41",""
"https://www.leboncoin.fr/ad/ordinateurs/2839538724","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro RETINA 13'' - i7 16Go 2To SSD - ÉTAT IMPECCABLE - SOUS GARANTIE 🌟💻✨","1 299 €","Très bon état","Pro","Livraison possible","Antibes 06600","aujourd’hui à 16:10",""
"https://www.leboncoin.fr/ad/ordinateurs/2839504218","Vendeur pro","TechPower.fr","Star","5","(24)","🌟 MacBook Pro Retina 13"" TouchBar - i7 4.5GHz - 16Go RAM - 512Go SSD - 1 cycle - GARANTIE 🌟","1 499 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 15:20",""
"https://www.leboncoin.fr/ad/ordinateurs/2839489864","","Oceanother","Star","4,9","(72)","MacBook Pro 14 pouces 2021 16gb 1To en très bon état état avec facture","1 450 €","Très bon état","","Livraison possible","Paris 75001 1er Arrondissement","aujourd’hui à 14:58","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/eab4ea41-d2f0-5cdc-89a8-6ebbbf085cbc?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839459640","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13"" 2022 🌟 i7 4.8Ghz | 16Go RAM | 512Go SSD 💾 | Comme neuf, sous garantie  🎉","1 299 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 14:10",""
"https://www.leboncoin.fr/ad/ordinateurs/2839405822","Vendeur pro","TechPower.fr","Star","5","(24)","Mac Pro 5.1 🔥 Sonoma14 | 128Go RAM 💻 | DUAL Xeon 24c ⏩ RX580 8Go 🚀 | 4To SSD 💾","1 499 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 12:30",""
"https://www.leboncoin.fr/ad/ordinateurs/2839389489","Vendeur pro","TechPower.fr","Star","5","(24)","🥳 Offres Mac : Pro, Air, mini & Pro à saisir  💻📦","1 299 €","Très bon état","Pro","Livraison possible","Narbonne 11100","aujourd’hui à 12:00",""
"https://www.leboncoin.fr/ad/ordinateurs/2839373007","","Melie","","","","Macbook Pro 15 pouces","1 200 €","Très bon état","","Livraison possible","Paris 75017 17e Arrondissement","aujourd’hui à 11:34","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/d31d8ada-7f2c-5cc7-8690-7e283ef2f210?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839351987","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13"" Retina TouchBar 2023 - 1To SSD 🎉 - SOUS GARANTIE 🔒🥳","1 499 €","Très bon état","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 11:01",""
"https://www.leboncoin.fr/ad/ordinateurs/2814919379","Baisse de prix","Zateralo","Star","5","(7)","Samsung Galaxy Book4 Edge négociable","","État neuf","Urgent","Livraison possible","Châtillon 92320","aujourd’hui à 10:49","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/e740488e-53d8-5b76-849b-ae82252256bf?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839535070","Vendeur pro","Okamac","","","","APPLE MacBook Pro Retina Touch Bar 13"" Apple M2 3,5 Ghz 16 Go 256 Go SSD Gris Sidéral (2022)","1 399 €","Reconditionné","Pro","Livraison possible","Écouflant 49000","aujourd’hui à 10:22",""
"https://www.leboncoin.fr/ad/ordinateurs/2839321620","","JL","Star","5","(41)","PC Portable Microsoft Surface Laptop 2024","1 400 €","État neuf","","Livraison possible","Marcq-en-Baroeul 59700","aujourd’hui à 10:13","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/b480aeef-098a-5bd8-987f-589daaad71e6?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839304325","Vendeur pro","TechPower.fr","Star","5","(24)","💻 MacBook Pro 13'' M1 3.2Ghz - 8Go RAM - 256Go SSD - État impeccable  🌟","1 299 €","Reconditionné","Pro","Livraison possible","Bordeaux 33000","aujourd’hui à 09:41",""
"https://www.leboncoin.fr/ad/ordinateurs/2839289876","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro Retina 15"" - i7 3.4Ghz - 1To SSD - 16Go RAM - Dernier macOS ☁️✨ Garantie incluse  🔒","1 299 €","Très bon état","Pro","Livraison possible","Clermont-Ferrand 63000","aujourd’hui à 09:10",""
"https://www.leboncoin.fr/ad/ordinateurs/2839260250","Vendeur pro","TechPower.fr","Star","5","(24)","Mac Pro 5.1 🚀 - Xeon 3.46GHz 🚀 24 cœurs - AMD RX580 8Go - 128Go RAM - 4To SSD 💻✨","1 299 €","Très bon état","Pro","Livraison possible","Quimper 29000","aujourd’hui à 07:50",""
"https://www.leboncoin.fr/ad/ordinateurs/2839258102","Vendeur pro","TechPower.fr","Star","5","(24)","🌟 MacBook Pro 13"" TouchBar 2022 - i7 4.8GHz, 16Go, 512Go SSD - Comme neuf 📦 Garantie incluse","1 299 €","Très bon état","Pro","Livraison possible","Antibes 06600","aujourd’hui à 07:40",""
"https://www.leboncoin.fr/ad/ordinateurs/2839254100","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13'' Retina TouchBar - i7 3.6Ghz - 16Go - 512Go SSD - État parfait  ✨💻","1 299 €","Très bon état","Pro","Livraison possible","Chelles 77500","aujourd’hui à 07:20",""
